PROVNUM,STATE,RESTOT,BEDCERT,OVERALL_RATING,TOTHRD,PTHRD,WEIGHTED_ALL_CYCLES_SCORE
35059,AZ,38,90,5,4.3835,0.21104,21.6
35062,AZ,82.5,115,1,2.7462,0.02093,74.4
35064,AZ,127.7,149,2,,,36.8
35068,AZ,74.3,143,2,3.57045,0.10828,106.8
35070,AZ,99.5,240,5,3.56205,0.14518,4.8
35071,AZ,94.8,100,2,4.10851,0.10533,33.6
35072,AZ,107,130,5,3.68623,0.14378,9.6
35073,AZ,75.4,115,3,3.59866,0.25302,30.4
35074,AZ,30.3,32,5,5.10194,0.33475,0
35076,AZ,98.2,130,4,3.43675,0.13673,21.6
35083,AZ,44,108,4,3.67014,0.24301,24
35084,AZ,146.8,179,5,,,9.6
35085,AZ,44.6,120,2,4.20641,0.29492,235.2
35086,AZ,61.1,100,3,3.85344,0.08169,34.4
35087,AZ,149,155,5,5.78625,0.05328,0
35088,AZ,76,107,2,3.45848,0.1063,60.8
35090,AZ,53.5,84,4,4.4551,0.21626,39.2
35091,AZ,80.2,83,5,3.56816,0.11724,3.2
35092,AZ,148.8,170,4,3.62351,0.06415,12
35093,AZ,52.7,70,4,3.8381,0.18189,22.4
35094,AZ,65.3,120,4,3.6497,0.18059,15.2
35095,AZ,71.7,120,5,3.9377,0.13775,20.8
35096,AZ,103.9,143,2,3.55605,0.10576,53.6
35097,AZ,85.8,120,3,3.88423,0.07164,21.6
35099,AZ,147.1,240,2,4.60305,0.05868,61.6
35100,AZ,60.2,118,2,3.60968,0.16845,31.2
35101,AZ,92.7,120,1,3.34083,0.07226,45.6
35103,AZ,93.3,128,4,3.60593,0.14227,19.2
35105,AZ,92.2,120,4,3.25754,0.0642,23.2
35106,AZ,36.4,64,2,4.40871,0.05983,54.4
35107,AZ,96.3,100,5,3.08429,0.08339,3.2
35110,AZ,,140,3,,,9.6
35111,AZ,88.7,128,3,3.58382,0.11523,26.4
35112,AZ,85.2,190,5,4.14784,0.07216,0
35114,AZ,57.8,116,2,3.30303,0.12261,73.6
35116,AZ,44.9,60,4,3.90945,0.46157,30.4
35117,AZ,100.2,163,4,3.35834,0.06579,20.8
35118,AZ,48.5,58,2,3.06752,0.13767,29.6
35120,AZ,112.4,180,4,3.83151,0.16493,20
35121,AZ,51.9,91,4,5.99021,0.40149,24
35125,AZ,117.9,200,2,5.67521,0.05638,77.6
35126,AZ,173.8,223,5,3.60298,0.09814,15.2
35127,AZ,57.8,64,4,2.8989,0.08363,9.6
35128,AZ,,60,1,,,115.2
35129,AZ,,60,1,,,79.2
35130,AZ,,120,1,,,58
35131,AZ,85.5,128,5,3.57953,0.08766,13.6
35132,AZ,171.9,191,4,3.61077,0.05958,23.2
35133,AZ,100.6,128,5,4.11612,0.20793,20
35134,AZ,90.7,109,3,3.16609,0.08402,37.6
35135,AZ,174.5,222,3,3.58352,0.11327,19.2
35136,AZ,98.3,152,4,3.50028,0.06715,12.8
35137,AZ,90,128,5,3.69083,0.04813,7.2
35139,AZ,51.5,100,3,3.65448,0.18155,28.8
35140,AZ,98.9,162,5,3.92162,0.10014,4.8
35141,AZ,74.9,96,5,3.51105,0.0898,11.2
35143,AZ,56.3,132,5,4.82081,0.22421,19.2
